Sample Filename,Sample ID,HPLID,Type,Pass/Fail,DQC,QC call_rate,call_rate,QC het_rate,het_rate,affymetrix-plate-barcode,affymetrix-plate-peg-wellposition,Average call rate for passing samples,Percent of passing samples
HPL-00001_Tissue_225234_B1.CEL,HPL-00001_Tissue,,Tissue,Fail,0.88443,94.712,,20.932,,5513774462030061924883,B01,98.354,44.271
HPL-00002_Tissue_225234_D1.CEL,HPL-00002_Tissue,,Tissue,Pass,0.95283,97.975,97.994,19.053,19.438,5513774462030061924883,D01,98.354,44.271
HPL-00003_Tissue_225234_F1.CEL,HPL-00003_Tissue,,Tissue,Fail,0.99528,90.925,,24.239,,5513774462030061924883,F01,98.354,44.271
HPL-00004_Tissue_225234_H1.CEL,HPL-00004_Tissue,,Tissue,Fail,0.99528,94.989,,21.355,,5513774462030061924883,H01,98.354,44.271
HPL-00005_Tissue_225234_J1.CEL,HPL-00005_Tissue,,Tissue,Fail,0.9434,94.334,,20.83,,5513774462030061924883,J01,98.354,44.271
HPL-00006_Tissue_225234_L1.CEL,HPL-00006_Tissue,,Tissue,Fail,0.98821,92.848,,22.36,,5513774462030061924883,L01,98.354,44.271
HPL-00007_Tissue_225234_N1.CEL,HPL-00007_Tissue,,Tissue,Pass,0.96934,97.742,98.138,19.126,19.225,5513774462030061924883,N01,98.354,44.271
HPL-00008_Tissue_225234_P1.CEL,HPL-00008_Tissue,,Tissue,Pass,0.86085,98.034,98.306,18.325,19.06,5513774462030061924883,P01,98.354,44.271
HPL-00009_Tissue_225234_B3.CEL,HPL-00009_Tissue,,Tissue,Fail,0.83726,96.606,,19.723,,5513774462030061924883,B03,98.354,44.271
HPL-00010_Tissue_225234_D3.CEL,HPL-00010_Tissue,,Tissue,Pass,0.94811,97.043,97.54,19.592,20.219,5513774462030061924883,D03,98.354,44.271
HPL-00011_Tissue_225234_F3.CEL,HPL-00011_Tissue,,Tissue,Fail,1,90.546,,24.588,,5513774462030061924883,F03,98.354,44.271
HPL-00012_Tissue_225234_H3.CEL,HPL-00012_Tissue,,Tissue,Fail,0.99292,89.716,,26.511,,5513774462030061924883,H03,98.354,44.271
HPL-00013_Tissue_225234_J3.CEL,HPL-00013_Tissue,,Tissue,Fail,0.99057,90.852,,23.787,,5513774462030061924883,J03,98.354,44.271
HPL-00014_Tissue_225234_L3.CEL,HPL-00014_Tissue,,Tissue,Fail,0.99292,91.726,,27.924,,5513774462030061924883,L03,98.354,44.271
HPL-00015_Tissue_225234_N3.CEL,HPL-00015_Tissue,,Tissue,Fail,0.99528,92.702,,23.117,,5513774462030061924883,N03,98.354,44.271
HPL-00016_Tissue_225234_P3.CEL,HPL-00016_Tissue,,Tissue,Fail,1,90.401,,26.366,,5513774462030061924883,P03,98.354,44.271
HPL-00017_Tissue_225234_B5.CEL,HPL-00017_Tissue,,Tissue,Fail,0.95283,93.751,,22.433,,5513774462030061924883,B05,98.354,44.271
HPL-00018_Tissue_225234_D5.CEL,HPL-00018_Tissue,,Tissue,Fail,0.9717,89.978,,27.822,,5513774462030061924883,D05,98.354,44.271
HPL-00019_Tissue_225234_F5.CEL,HPL-00019_Tissue,,Tissue,Fail,1,90.532,,25.2,,5513774462030061924883,F05,98.354,44.271
HPL-00020_Tissue_225234_H5.CEL,HPL-00020_Tissue,,Tissue,Fail,0.85613,94.887,,21.107,,5513774462030061924883,H05,98.354,44.271
HPL-00021_Tissue_225234_J5.CEL,HPL-00021_Tissue,,Tissue,Pass,0.89151,97.13,97.636,20.262,20.124,5513774462030061924883,J05,98.354,44.271
HPL-00022_Tissue_225234_L5.CEL,HPL-00022_Tissue,,Tissue,Fail,1,91.959,,27.123,,5513774462030061924883,L05,98.354,44.271
HPL-00023_Tissue_225234_N5.CEL,HPL-00023_Tissue,,Tissue,Fail,0.99764,91.318,,24.822,,5513774462030061924883,N05,98.354,44.271
